aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19,target
-0.847682119,-0.350993377,-1.013245033,-1.443708609,-2.642384106,-0.768211921,-0.735099338,-1.986754967,-1.132450331,-1.264900662,-1.165562914,0.046357616,-0.860927152,-2.19205298,-1.708609272,-0.609271523,-0.728476821,-3.079470199,-1.602649007,-1.125827815,1
-0.926966292,-0.674157303,-0.960674157,-1.601123596,-1.662921348,-0.646067416,-0.95505618,-1.640449438,-1.275280899,-0.859550562,-1.297752809,-0.140449438,-0.629213483,-1.528089888,-1.825842697,-0.752808989,-0.724719101,-2.516853933,-1.516853933,-0.898876404,1
-0.410774411,-0.461279461,-0.552188552,-1.047138047,-1.723905724,-0.417508418,-0.525252525,-1.454545455,-0.71043771,-1.063973064,-1.239057239,0.131313131,-0.986531987,-1.427609428,-1.326599327,-0.383838384,-0.457912458,-2.427609428,-0.919191919,-0.932659933,1
-0.804123711,-0.659793814,-0.896907216,-1.298969072,-1.778350515,-0.463917526,-0.711340206,-1.731958763,-0.87628866,-0.912371134,-1.067010309,-0.134020619,-0.675257732,-1.329896907,-1.31443299,-0.448453608,-0.520618557,-2.474226804,-1.118556701,-0.75257732,1
-0.910344828,-0.034482759,-0.910344828,-1.365517241,-2.296551724,-0.489655172,-0.634482759,-1.855172414,-0.827586207,-1.434482759,-1.6,0.55862069,-1.165517241,-2.234482759,-1.517241379,-0.448275862,-0.75862069,-2.868965517,-1.910344828,-1.248275862,1
-0.276056338,-0.556338028,-0.583098592,0.057746479,-2.350704225,-0.369014085,0.38028169,-1.076056338,-1.098591549,-1.763380282,-2.01971831,0.397183099,-1.053521127,-1.878873239,-0.778873239,-0.043661972,-0.614084507,-3.011267606,-1.784507042,-1.047887324,1
-0.414285714,-0.185714286,-0.857142857,-1.75,-1.5,-0.664285714,-1.164285714,-0.95,-1.1,-0.842857143,-1.1,-0.085714286,-0.585714286,-1.557142857,-1.371428571,-0.407142857,-0.578571429,-2.221428571,-1.557142857,-0.735714286,1
-0.355311355,-0.17032967,-0.600732601,-0.692307692,-1.565934066,-0.075091575,-0.128205128,-1.648351648,-0.880952381,-0.899267399,-0.769230769,0.241758242,-0.639194139,-1.551282051,-0.509157509,0.15018315,-0.212454212,-2.820512821,-1.728937729,-0.868131868,1
-1.395721925,-1.524064171,-1.604278075,-1.614973262,-2.192513369,-1.64171123,-1.294117647,-2.385026738,-1.090909091,-1.379679144,-1.743315508,-1.417112299,-1.347593583,-1.828877005,-2.368983957,-1.50802139,-1.347593583,-2.315508021,-1.647058824,-1.352941176,1
-0.246376812,-0.6563147,-0.469979296,-0.81573499,-0.652173913,-0.488612836,-0.614906832,-1.163561077,-0.149068323,-0.625258799,-0.813664596,-0.645962733,-0.221532091,-0.658385093,-0.931677019,-0.387163561,-0.488612836,-1.229813665,-0.474120083,-0.666666667,1
