d_fpssm0,d_fpssm1,d_fpssm2,d_fpssm3,d_fpssm4,d_fpssm5,d_fpssm6,d_fpssm7,d_fpssm8,d_fpssm9,d_fpssm10,d_fpssm11,d_fpssm12,d_fpssm13,d_fpssm14,d_fpssm15,d_fpssm16,d_fpssm17,d_fpssm18,d_fpssm19,target
0,0.000219583,0.00077432,0.001826009,0.000132906,0.000392939,0.001537084,0.00015602,0.000872555,0.000468059,0.000219583,0.001248158,0.000421831,0.000733871,0.001144145,0.000184912,7.51E-05,0.000849441,0.000554737,0.000127127,1
0.000281409,0.001397967,0.000562818,0.001443355,0,0.00055374,0.001443355,0.000190632,0.000816993,0.001534132,0.001761075,0.001379811,0.00098947,0.001089325,0.001171024,0.000335875,0.000145243,0.00031772,0.000826071,0.00067175,1
0.000736614,0.003015515,0.000736614,0.00027623,0.000897749,0.001220017,0.001634363,0.000598499,0.002163805,0.001450209,0.001335113,0.003821187,0.001772478,0.000828691,0.000736614,0,9.21E-05,0.001358133,0.001565305,0.001243037,1
5.64E-05,7.84E-05,0.000105219,0.000210975,2.68E-05,7.84E-05,0.000301699,5.37E-07,8.21E-05,0.000139039,6.93E-05,0.000378466,4.35E-05,9.56E-05,0.000180912,1.07E-05,0,0.000149776,0.000123471,6.17E-05,1
0.001241722,0.005173841,0.001490066,0.001862583,0,0.001614238,0.002442053,0.00115894,0.002690397,0.002773179,0.002690397,0.005629139,0.002690397,0.000372517,0.002607616,0.002069536,0.001572848,0.000331126,0.002193709,0.001779801,1
0,0.003389618,0.00134957,0.000847404,0.00175758,0.001945892,0.002165589,0.001883121,0.001098487,0.00316992,0.001286799,0.004425334,0.002416672,0.002071433,0.001067102,0.000376624,0.000251083,0.001098487,0.000972946,0.002165589,1
0.000251953,0.001305573,0.000584072,0.000584072,0.000423739,0.000652786,0.000870382,0.000171786,0.001110882,0.00052681,0.000206143,0.002324836,0.000332119,0.000377929,0.000412286,6.87E-05,0,6.87E-05,0.001191049,0.000274857,1
0,0.002422399,0.001154865,0.00109853,0.000732353,0.001887218,0.001690046,2.82E-05,0.001802715,0.002253394,0.001464706,0.003802603,0.001549208,0.001887218,0.001436539,0.00087319,0.000450679,0,0.001323869,0.001943552,1
0,0.003657262,0.000905608,0.001114594,6.97E-05,0.001184256,0.00195054,0.000278649,0.002298851,0.001428074,0.000452804,0.005607802,0.001323581,3.48E-05,0.000905608,0.000905608,0.000208986,0.000417973,0.000452804,0.001671891,1
0.000308327,0.000353937,0.000248121,0.000897614,0,0.000295556,0.001169452,0.000370357,9.49E-05,0.000111289,3.65E-06,0.001045392,0.000144129,0.000240823,0.000468875,0.00045428,0.000135007,4.01E-05,9.85E-05,0.000195213,1
0.00174482,0.005343511,0.001526718,0.000545256,0.002126499,0.001145038,0.000163577,0.003162486,0.001581243,0.003380589,0.001254089,0.005179935,0.002126499,0,0.002181025,0.001199564,0.000490731,0.002235551,0.000163577,0.002399128,1
0.000460935,0.001264511,0.000497646,0.000758707,0.000448698,0.001027925,0.001219642,0,0.000648572,0.000628177,0.000795418,0.001603074,0.000726074,0.00043646,0.00153373,0.00118293,0.000652651,0.000179479,0.000273298,0.000387512,1
0.000505853,0.001878884,0.00151756,0.003215783,0.00014453,0.000289059,0.003468709,0.001373031,0.001951149,0.003107385,0.001228501,0.002276341,0.001915017,0.002131811,0.002059546,0,0.000939442,0.00242087,0.001445296,0.001878884,1
0.000314301,0.000434034,0.000518846,0.000503879,0.001212303,0.000389134,0.000608646,0.000229489,0.001366959,0.000449001,0.00036419,0.000419068,0.000937913,0.000718402,0.000638579,7.48E-05,0,0.001516626,0.000808202,0.000239467,1
0.000741774,0.000653643,0.000235018,0.000658539,0.000249706,0.000367215,0.000634058,0.000709949,0.001033098,0.000937622,0.000766255,0.000418625,0.000394144,0.000242362,0.001011065,0.000526342,0.000484724,0,5.39E-05,0.000949863,1
9.83E-05,0.00023515,0.000182504,0.000349215,0.000510662,0.000124594,0.000263228,0.000250944,0.000558043,0.000249189,0.000100026,0.000145653,0.000449242,0.000277266,0.000517681,0,4.56E-05,0.000722999,0.000372028,0.000136878,1
4.85E-05,0.000245821,0.000183112,0.000411374,0.000182275,8.11E-05,0.000500839,9.95E-05,0.000271741,0.000324417,0.000178931,0.000465722,0.000280938,0.00036037,0.000284283,0,4.93E-05,0.000637128,0.000396324,0.000242477,1
0.000105426,0.000362115,0.000357532,0.000634848,0.000263565,0.000210852,0.000788403,0.000128345,0.000488168,0.000460666,0.000357532,0.000834241,0.000357532,0.00042858,0.00041712,0,6.65E-05,0.000712771,0.000481293,0.000265857,1
0.000194845,0.000490473,0.000369534,0.001054852,0.000792819,0.000980945,0.001209385,0.00011422,0.00118251,0.000725631,0.000597974,0.001390793,0.001155634,0.000745787,0.001021258,6.72E-05,0,0.001222822,0.000907039,0.000228439,1
